query;question_type;link_to_answer_1;link_to_answer_2;link_to_answer_3;link_to_answer_4;link_to_answer_5;text_snippet_1;text_snippet_2
Har du en grammatikbog og et tilhørende grammatikspil?;multi-hop;Super G - : grammatik med øvelser;Gyldendals basisgrammatikker : Grammar Matters 1 - Engelsk;Stjernen og striben : et sætningsspil;New Grammar Time 3 -- Student's Book med Multi-Rom;Sprache(n) lernen mit Methode : 170 Sprachspiele für den Deutsch- und Fremdsprachenunterricht;Jeg har fundet flere muligheder, der kunne matche dit spørgsmål: Super G - : grammatik med øvelser: Dette er en grammatikbog, der er letforståelig og designet til at gøre grammatik sjov. De Stjernen og striben : et sætningsspil: Dette er et spil, der træner den danske sætningsopbygning og grammatik.;Jeg har også fundet bøger til grammatik på engelsk og tysk, hvis du er interesseret i det.
Kan du foreslå nogle materialer til et tema om vikingetiden fortalt gennem computerspil?;multi-hop;Farvel til vikingetiden;TV-udsendelse med pædagogisk vejledning;Loading - historien om Danmarks spilpionerer : I begyndelsen var spillet;Vikingetiden 3.-5. kl;Hvordan vikingerne ændrede verden;"Jeg har fundet et dokument der kan være relevant for dit spørgsmål: ""Loading - historien om Danmarks spilpionerer"". Dette er en dansk dokumentarserie i fire afsnit, der fortæller historien om danske computerspil og de mennesker bag dem. Serien inkluderer historien om ""Vikings"", Danmarks første spil til Commodore 64, og beskriver også de første computerspil fra 1963 og 1980'ernes demoscene. Dette materiale kan være en god illustration af, hvordan vikingetiden er blevet fortolket og fremstillet i computerspilskulturen.";"Jeg har desværre ikke fundet andre direkte relevante dokumenter i MitCFU-kataloget, der specifikt omhandler vikingetemaet set gennem computerspil. Der er et dokument om ""Vikingetiden 3.-5. kl."", men det virker at være mere fokuseret på undervisningsmaterialer end på portrættere af vikingetiden i spil."
Kan du finde nogle materialer af forskellige typer til brug i seksualundervisningen?;multi-hop;Ditlev Tamm - professor på høje hæle;Ung i en herresexet verden : Køn, massekultur og pornografi;I kødet på seksualitet;Sexualerziehung bei Jugendlichen : mit körperlicher und geistiger Behinderung;Har du også købt sex?;"eg har fundet flere materialer, der kan være relevante for seksualundervisningen: ""Ung i en herresexet verden: Køn, massekultur og pornografi"": Dette materiale er en læringsvejledning og DVD, der giver baggrundsviden om pornoens status og gennemgår informationer og tal på området. Vær opmærksom på, at materialet er fra 2006, så det bør suppleres med nyere information, da sociale medier m.m. har en større indflydelse i dag. ""I kødet på seksualitet"": Denne dokumentarserie udforsker forskellige seksualiteter og det, der sker, når grænserne mellem heteroseksualitet og homoseksualitet bliver mere flydende. Den kan bruges til at introducere og diskutere mangfoldighed i seksualitet. ""Sexualerziehung bei Jugendlichen : mit körperlicher und geistiger Behinderung"": Denne læringsvejledning omhandler seksualitet hos unge med fysiske og psykiske handicap. Den beskriver teoretiske aspekter og tilbyder en komplet undervisningssekvens, indsat i kærlighedshistorien om Jan og Julia. ""Har du også købt sex?"": Denne dokumentarserie har til formål at inspirere unge til at tale åbent om seksualitet og krop. Den undersøger sexkøb i forskellige aldre og kulturer.";
Egner et tema om Mussolini sig bedst til mellemtrinnet eller en ungdomsuddannelse?;post_processing;Benito Mussolini ( 4 );Benito Mussolini ( 1 );Benito Mussolini ( 3 );Benito Mussolini ( 2 );Benito Mussolini ( 5 );"Dokumenterne giver et indblik i Mussolini, hans opbygning af fascismen, hans forhold til Hitler, og hans deltagelse i krige. De beskriver ham som en historisk person (29. juli 1883 - 28. april 1945) som omdrejningspunkt i podcastserien ""Tyran"", som handler om diktatorer i Verdenshistorien, og som kan bruges til at give et indblik i fascismens fremkomst i Europa.";Ud fra disse dokumenter vil jeg mene, at et tema om Mussolini bedst egner sig til en ungdomsuddannelse. Emnet rummer komplekse politiske og historiske aspekter, som bedst kan diskuteres og forstås i en mere uddybende ramme, end det typisk er muligt på mellemtrinnet. Selvom elementer kan tilpasses til mellemtrinnet, ville de politiske undertoner og historiske kompleksitet være mere passende på et højere niveau.
Kan du give mig et forslag til hvordan ønskekuglen kan bruges i undervisningen?;post_processing;Ønskekuglen;Benito Mussolini ( 1 );Grammatikhjul;Den mest idiotiske gamer opfindelse nogensinde!;Schopenhauer om kærlighed;"Dokumentet ""Ønskekuglen: Tegneserie"" beskriver, at denne tegneserie er velegnet til mellemtrinnet og giver mulighed for at arbejde med billedfortællinger. Udover historien giver den mulighed for at arbejde med forskellige fagbegreber i elevernes studier af billederne.";Jeg kan derfor give dig et forslag til hvordan 'Ønskekuglen' kan bruges i undervisningen: Du kan bruge tegneserien til at arbejde med billedfortællinger med dine elever på mellemtrinnet. Eleverne kan studere billederne og analysere, hvordan de bidrager til historien, og hvordan de understøtter eller udfordrer den skrevne tekst. Dette giver mulighed for at diskutere fagbegreber relateret til billedfortælling.
Kan du give mig et forslag til hvordan en bold kan bruges i undervisningen?;post_processing;Aktivitetssæt;Boldspil til baglommen;Kroppens muligheder og kropumulige unger;Leg på streg;Skolen - verdensklasse på 100 dage ( 3 );Jeg har ikke fundet nogle dokumenter, der specifikt beskriver anvendelsen af en bold i undervisningen. Derfor kan jeg ikke give dig et forslag baseret på de tilgængelige dokumenter.;Kan du omformulere dit spørgsmål, eller give mere kontekst, så jeg kan undersøge, om jeg kan finde relevante dokumenter i MitCFU kataloget?
Har du et materiale om lego technic i kataloget?;no_information;LEGO WeDo 2.0 : education;LEGO;Lego Education : MoreToMath 1-2;Grandma’s hero;LEGO® Education BricQ Motion Essential sæt;Jeg har gennemgået dokumenterne, men jeg kan desværre ikke finde noget specifikt om LEGO Technic. Dokumenterne nævner LEGO WeDo 2.0, LEGO Education MoreToMath og LEGO Education BricQ Motion Essential, men ikke LEGO Technic.;Kan du omformulere dit spørgsmål, så jeg bedre kan hjælpe dig? Måske leder du efter noget relateret til LEGO mere generelt, eller måske er du interesseret i et specifikt område inden for teknologi og læring?
Har du en bog om the Jonas Brothers i kataloget?;no_information;Där björkarna susa - Jailbird singers;Hvorfor lige Jonas?;Unik ( 09.07.2015 );Da freden kom;Ses;Jeg har gennemgået de tilgængelige dokumenter, men jeg kan desværre ikke finde noget materiale, der specifikt handler om Jonas Brothers. Dokumenterne omhandler forskellige emner som Jailbird Singers, et knivdrab, Minecraft-gamere, befrielsen af Danmark og en historie om søskende efter et dødsfald.;Jeg er ikke sikker på, om jeg forstår dit spørgsmål. Kan du formulere det om, eller give mig flere detaljer omkring, hvad du leder efter?
Hej, kan du finde en episode af Vores mødre, vores fædre, tak?;polite;Vores mødre, vores fædre ( 3 );Vores mødre, vores fædre ( 1 );Vores mødre, vores fædre ( 2 );Vores mødre, vores fædre - dokumentationen;Mig og min familie ( 2 );"Jeg har fundet flere referencer til den tyske TV-mini-serie ""Vores mødre, vores fædre"" i de fremlagte dokumenter. Der er henvisninger til forskellige afsnit eller vinkler på serien, som f.eks. ""Vores mødre, vores fædre : en anden krig"", ""Vores mødre, vores fædre : en anden tid"" og ""Vores mødre, vores fædre - dokumentationen : en anden tid"". Dokumenterne beskriver serien som en fortælling om yngre generationers forståelse af deres forældres liv under krigen og nationalsocialismen, både ved fronten og hjemme.";
Hej, vil du være så venlig at finde en episode af Vores mødre, vores fædre til mig? Så er du sød, tak.;Overly_polite;Vores mødre, vores fædre ( 1 );Vores mødre, vores fædre ( 2 );Vores mødre, vores fædre - dokumentationen;Unsere Mütter, unsere Väter - Die Dokumentation;Torturbødlen ( 2 );"Jeg har fundet flere dokumenter om ""Vores mødre, vores fædre"". Det er en tysk TV-mini-serie i tre dele fra 2013, der fortæller historien om en generation af tyskere under krigen og nationalsocialismen. Der findes også en tilhørende dokumentar i to dele, der giver et mere virkelighedsnært billede af krigen.";Vil du gerne vide noget mere specifikt om serien, f.eks. handlingen, karaktererne eller de historiske begivenheder, den dækker? Eller måske er du interesseret i dokumentarerne, der ledsager serien og giver et indblik i krigens rædsler fra forskellige perspektiver?
Vil du være så rar at foreslå 3 matematikspil til 3. klasse, tak?;polite;Hyggematematik 3;Hyggematematik 3;Hyggematematik 3;26 matematikspil;120 ords spillet;"Jeg har fundet et relevant materiale: ""26 matematikspil"". Dette materiale beskrives som ""anderledes og underholdende"" og træner elevernes færdigheder gennem matematikfaglige spil. Det er designet til at fremme kreativ matematisk tænkning, og indeholder aktiviteter der tilgodeser alle klassens elever. Materialet indeholder 13 kortspil og 13 terningspil i forskellige sværhedsgrader, hvilket giver muligheder for differentiering og brug på flere klassetrin.";"Jeg kan desværre ikke give dig et specifikt bud på 3 spil, men ""26 matematikspil"" virker som et godt udgangspunkt for at finde nogle egnede aktiviteter til 3. klasse."
Hejsa. Det ville være så rart hvis du kunne foreslå 3 matematikspil til 3. klasse til mig? Håber at du kan hjælpe, og på forhånd tak!;Overly_polite;26 matematikspil;Multi Math;Tre-stavelseslotteri;26 matematikspil;Matematikkens mægtige mysterier;Jeg kan desværre ikke svare på dit spørgsmål. Jeg har modtaget dokumenter om matematikspil, men de er ikke detaljerede nok til at kunne give dig konkrete anbefalinger til 3. klasse. Dokumenterne beskriver generelt forskellige matematikspil og deres formål, men nævner ikke specifikt hvilke der er bedst egnet til det klassetrin.;Vil du omformulere dit spørgsmål, så jeg bedre kan forstå, hvilken type matematikspil du leder efter til 3. klasse? For eksempel, er du interesseret i spil, der fokuserer på bestemte matematiske emner, eller i spil med en bestemt type gameplay?
;;;;;;;;
;;;;;;;;
Hvor gammel er Mike Leigh i år 2025?;Simple;Mike Leigh;Besat af sex;Milliardærens vilde drøm;Cary Grant - Hollywoods førsteelsker;Bidens dummeste træk - Trumps største gave?;Ifølge dokumenterne er Mike Leigh født i 1943. Hvis det er år 2025, vil han derfor være 82 år gammel.;
Hvor længe har Mette Frederiksen været statsminister?;Simple;;;;;;Beklager, men det er et spørgsmål, der ligger uden for MitCFU's område. Jeg kan udelukkende hjælpe dig med spørgsmål relateret til MitCFU-materialer.;Kan jeg hjælpe dig med noget andet, der har med MitCFU at gøre?
Skal Veras forældre skilles?;Simple;;;;;;Jeg er MitCFU-chat og er her for at hjælpe med spørgsmål relateret til MitCFU kataloget. Jeg kan desværre ikke svare på personlige spørgsmål som det du spørger om.;Har du brug for hjælp til at finde information om kurser, uddannelser, eller andre emner der er relevante for MitCFU?
Hvor længe har Mette Frederiksen været statsminister?;Simple_repeat;Mød Statsministeren;Mette Frederiksen;Mød Statsministeren;Mød Statsministeren;Mette Frederiksen : min verden;Dokumenterne indeholder information om, at Mette Frederiksen og hendes regering har haft magten i knap et år, samt knap to år. Disse dokumenter er relevante, da de giver en tidsramme for hendes tid som statsminister.;
Skal Veras forældre skilles?;Simple_repeat;Ängelby;Cristina ve el futuro;Tøser og drengerøve;Ängelby;Testament of Youth;Jeg har fundet to dokumenter, der involverer en karakter ved navn Vera. Ängelby: Dokumentet beskriver Vera, der bliver forladt af sin mand og mister sit arbejde. Dette indikerer, at hendes forældre er ved at skulle skilles. Cristina ve el futuro: Her er Vera skuespiller i en spansk tv-produktion, men dette dokument omhandler ikke hendes familieforhold. Derfor ser det ud til, at Veras forældre skal skilles.;
